dataset,subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,ratio
PhysioNet,1,5.9196508461878725,10.106462687530705,4.21875,10.078125,0.7299208202167452,0.2388452211120313,1.7072734440138557
PhysioNet,2,6.258449822846172,10.683652022754256,7.890625,11.25,0.7314639877133904,0.2259783745069934,1.707076404727908
PhysioNet,3,5.737852083852776,10.331440847138431,4.21875,10.546875,0.0579105785388825,0.2176947157291306,1.800576364840903
PhysioNet,4,5.947182991138608,10.566047492734947,4.0625,10.703125,0.2232772802261793,0.2165034284193413,1.7766474494695248
PhysioNet,5,5.861334874566446,10.180087043232444,4.140625,8.4375,0.5066448489872498,0.2315483641907811,1.7368205811624864
PhysioNet,6,5.99703126296184,10.177414042026369,6.5625,8.75,0.8109427534936485,0.2392125441258699,1.6970753687550235
PhysioNet,7,6.272652350088191,10.836016508036328,6.015625,11.328125,0.5755019164051063,0.2191365767420232,1.7275015261899502
PhysioNet,8,6.04875993815823,9.63364654527619,6.484375,9.453125,1.3981796923631964,0.2789488509941858,1.5926647186810843
PhysioNet,9,6.141507406615278,10.055663832227165,7.265625,10.234375,1.3551392978229044,0.2554828911426742,1.637328291975319
PhysioNet,10,6.15299658142977,9.583889365700127,7.265625,8.75,1.218320118448677,0.2914693238403451,1.5575970567942559
PhysioNet,11,5.840084800552129,10.120278754295018,4.0625,10.390625,0.5354667881133102,0.2336342723734593,1.7328992814176662
PhysioNet,12,5.611367941786575,10.455748959737736,4.0625,10.0,-0.3777305851111696,0.206424720990037,1.8633155173939249
PhysioNet,13,6.29790846312418,9.707920030447916,6.796875,8.359375,1.1517455718951737,0.2932541371948558,1.5414514338038097
PhysioNet,14,6.176268023599999,9.64054320678211,7.578125,8.984375,1.2330232466306563,0.2886606713157958,1.5609010441167461
PhysioNet,15,6.217060872683475,10.506745709898553,7.1875,10.390625,0.8687783946863811,0.233117358954793,1.6899859797196288
PhysioNet,16,6.189035950046874,10.564608211971835,7.890625,12.421875,0.7321590130087551,0.2285415347157508,1.706987695214765
PhysioNet,17,5.926208979659927,10.646411748118467,4.140625,11.171875,0.0859899070995134,0.2118553055987817,1.7964961722847321
PhysioNet,18,5.997976823372065,10.342286578850064,7.34375,10.390625,0.5994906525694575,0.2301861644969124,1.7242958556541448
PhysioNet,19,5.665256984315506,9.996472572945176,4.296875,8.515625,0.3081026714698737,0.2308820652163345,1.7645223509932235
PhysioNet,20,6.126984286356194,10.560793685120188,6.796875,10.703125,0.6043227325983833,0.2255396906052769,1.72365281050865
PhysioNet,21,5.815452732342004,9.978924406353723,4.453125,9.609375,0.6628921749798719,0.2401841728003034,1.7159325104401635
PhysioNet,22,5.952006342095139,9.864764354319874,5.859375,8.28125,1.1554630871017508,0.2555742003148861,1.657384718250724
PhysioNet,23,5.862852599036527,9.982960884545836,4.296875,10.0,0.7655776360095635,0.2427120674272241,1.7027480592274122
PhysioNet,24,6.661457848530114,9.416344277562242,7.421875,8.359375,0.8130376420834429,0.3629913703380248,1.4135560851203177
PhysioNet,25,6.316537890008177,10.12499312132664,7.96875,10.859375,1.463216699525404,0.2625736523765848,1.6029339644020615
PhysioNet,26,6.098918068495374,9.975625256514574,7.890625,8.828125,1.3730468842085608,0.2579508720933213,1.6356385090733967
PhysioNet,27,6.137908600890911,10.65036671219892,5.46875,11.171875,0.5186889881927678,0.2216087053515349,1.7351784467192997
PhysioNet,28,6.448599421465285,9.814887749431373,7.65625,9.296875,1.081521662659974,0.2970630862758568,1.522018520294626
PhysioNet,29,6.127890286530513,9.627594561683496,4.6875,9.296875,1.281100357970924,0.2857384285580206,1.571110792052781
PhysioNet,30,6.777885051890451,9.98235462470828,7.5,10.390625,0.9391493131947224,0.3120641270813057,1.4727831098174282
PhysioNet,31,6.603544001292586,9.420973023786225,7.96875,8.28125,0.8377479143076488,0.3549335198921618,1.4266540848281093
PhysioNet,32,6.022266392173416,10.412943986298604,6.953125,11.171875,0.5637941117919367,0.2277552788977308,1.7290739579091599
PhysioNet,33,5.723137481373533,10.441438407648162,4.765625,10.078125,-0.1061171873446672,0.2119406997615045,1.8244255780384036
PhysioNet,34,6.019837138231161,9.939683550956142,6.875,10.234375,1.2151647870837643,0.255112036214915,1.6511548938476381
PhysioNet,35,5.576525394886468,10.496869354045698,5.703125,10.625,-0.5150908288288708,0.2032378240831107,1.8823314897249568
PhysioNet,36,6.1970770138796025,10.215651517825592,7.96875,8.4375,1.2415686895025326,0.2488444594017261,1.648462895482109
PhysioNet,37,6.0422022282438,10.180731772085704,4.375,8.75,0.9108114899909724,0.2416317171126617,1.6849372774212474
PhysioNet,38,5.905399690740466,10.732628228683136,5.0,11.09375,-0.0579283483650012,0.2071582051978406,1.8174262185016294
PhysioNet,39,5.679805914378622,10.08028917728739,4.140625,8.046875,0.236425461314477,0.2272477680869506,1.7747594423550277
PhysioNet,40,5.792826985074562,10.020439121107136,4.921875,10.15625,0.558391994506524,0.2365401479186914,1.729801208792387
PhysioNet,41,6.3746827470310645,10.084910499384382,7.734375,9.0625,1.3374585082560513,0.2695252331519868,1.5820254747706957
PhysioNet,42,5.818314437248998,11.190576520816668,4.0625,11.40625,-0.8304707864035478,0.186141328260722,1.9233364991713597
