dataset,subject,sfreq,n_channels,theta_centroid,alpha_centroid,theta_peak,alpha_peak,theta_frontal,PCI,convergence,ratio_centroid,ratio_frontal,PCI_frontal,convergence_frontal
OpenNeuro,sub-031,1024.0,73,6.709622283771046,9.635620211406755,8.0,8.25,,0.856437747059881,0.34176374171530227,1.4360898130902227,,,
OpenNeuro,sub-031,1024.0,73,6.668376119904912,9.653568578266798,8.0,9.75,,0.880768547800239,0.3349867768823008,1.4476640796326967,,,
OpenNeuro,sub-031,1024.0,73,6.615928670117617,9.883250286312068,8.0,9.75,,0.9946795592129027,0.30606108533776066,1.493856838413641,,,
OpenNeuro,sub-031,1024.0,73,6.742817296180889,9.84336128485929,8.0,9.75,,0.9079818463861504,0.32252404857066636,1.459829156343082,,,
OpenNeuro,sub-073,1024.0,80,5.890856550785323,9.981567152925845,4.0,10.0,,0.8326682286317385,0.24445630533647042,1.6944169437626484,,,
OpenNeuro,sub-073,1024.0,80,5.734364394562171,9.944520670605966,4.0,9.75,,0.5260581534934498,0.23752087438893865,1.7341975476891975,,,
OpenNeuro,sub-012,1024.0,73,5.731033555371781,10.419501821732588,4.0,9.25,,-0.062341667371567225,0.2132892755561297,1.8180842462466893,,,
OpenNeuro,sub-012,1024.0,73,5.811114364405823,10.677351875134743,4.0,11.75,,-0.19571816841413028,0.2054975733911945,1.8374017796888575,,,
OpenNeuro,sub-012,1024.0,73,5.929350042854133,10.555964636943779,4.0,9.25,,0.19809081021616956,0.21614076116853745,1.780290345594539,,,
OpenNeuro,sub-012,1024.0,73,5.8774636264220215,10.225962059053042,4.0,9.25,,0.48460179240950396,0.2299644384130452,1.739859692722288,,,
OpenNeuro,sub-065,1024.0,80,6.0480889397463224,9.583865453094859,8.0,8.75,,1.3513948423588416,0.28282330521307636,1.584610535422589,,,
OpenNeuro,sub-074,1024.0,80,6.749286412473997,9.720684568754447,8.0,9.75,,0.86502480455069,0.33654190633670733,1.440253676416625,,,
OpenNeuro,sub-074,1024.0,80,6.417136999938537,9.871934553600669,8.0,9.75,,1.139756899014327,0.2894525611030338,1.5383705465062103,,,
OpenNeuro,sub-074,1024.0,80,6.470103293980343,9.738106712131,8.0,9.5,,1.027389742113859,0.30599723196308465,1.5050929281439978,,,
OpenNeuro,sub-006,1024.0,80,6.082643519640143,10.4535446950764,8.0,10.5,,0.64281346159776,0.22878577205539097,1.7185857861508946,,,
OpenNeuro,sub-006,1024.0,80,6.078903073436365,10.433647834744054,8.0,10.75,,0.6597147680636116,0.22963458361213102,1.716370159007319,,,
OpenNeuro,sub-006,1024.0,80,6.21068468579955,10.425674804928265,8.0,11.0,,0.9642965616544555,0.2372484802423952,1.678667543494214,,,
OpenNeuro,sub-049,1024.0,80,6.411419147891062,9.853677082437189,8.0,10.0,,1.134200865092579,0.2905069925074784,1.5368948520045527,,,
OpenNeuro,sub-049,1024.0,80,6.32614002572472,10.000093368409498,8.0,10.25,,1.3303739436318025,0.27218636349617875,1.5807575121234994,,,
OpenNeuro,sub-049,1024.0,80,6.336295731611442,9.92464614445722,8.0,10.0,,1.2577839122839196,0.2786795839169285,1.5663167511174847,,,
OpenNeuro,sub-049,1024.0,80,6.416883397046158,9.887123922170307,8.0,10.0,,1.14903028197682,0.2881644637482944,1.540798439117903,,,
OpenNeuro,sub-034,1024.0,73,7.012734216618398,9.78605014838904,8.0,8.5,,0.7812269344193847,0.36057918556777757,1.395468564201191,,,
OpenNeuro,sub-034,1024.0,73,6.0377091185271246,10.07156747819621,6.25,8.5,,1.0570223713172227,0.2479016144934832,1.668110748709459,,,
OpenNeuro,sub-034,1024.0,73,6.652566832899796,10.037035519229299,8.0,8.75,,1.0385353023185417,0.2954673518000581,1.5087462886643777,,,
OpenNeuro,sub-034,1024.0,73,6.913872549586038,10.163407275649929,8.0,8.75,,0.9321591575267311,0.30773636360282375,1.4700021157113252,,,
OpenNeuro,sub-025,1024.0,80,6.397461816059755,9.51440683120396,7.5,9.75,,0.9763826744246517,0.3208269620225351,1.4872158841682552,,,
OpenNeuro,sub-025,1024.0,80,6.519886173031966,9.605920981740509,8.0,9.75,,0.9403620156979343,0.32404041496164604,1.4733264855870072,,,
OpenNeuro,sub-025,1024.0,80,6.456086871883582,9.667275901020377,8.0,9.75,,1.004717889563883,0.3114111286898647,1.4973893773210523,,,
OpenNeuro,sub-025,1024.0,80,6.486225093715068,9.487092428156545,7.5,8.0,,0.9145561940320275,0.333236990693599,1.4626523580486308,,,
OpenNeuro,sub-037,1024.0,73,5.801050285211156,9.946230686843906,4.0,9.25,,0.6736147592247475,0.241244023928635,1.7145568815702599,,,
OpenNeuro,sub-037,1024.0,73,6.118082900665402,9.676214142984021,8.0,9.5,,1.3347775018965522,0.28104640663798575,1.5815761734663054,,,
OpenNeuro,sub-020,1024.0,80,6.743653167576991,10.334064396754147,8.0,10.25,,1.1176884870717998,0.27851962802299335,1.5324133878117578,,,
OpenNeuro,sub-020,1024.0,80,6.786044321439654,10.432379335119842,8.0,10.5,,1.1358273407947983,0.2742479767350603,1.5373284996327021,,,
